Row Labels,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries: All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,TotalOri
E00073547,6,6,0,1,16,2,3,1,217,6,5,263
E00073548,8,0,0,0,30,7,5,3,367,14,7,441
E00073549,4,5,0,0,19,0,5,2,248,6,7,296
E00073550,4,3,0,0,19,1,5,3,276,20,5,336
E00073551,7,0,0,0,10,1,3,3,301,10,2,337
E00073552,3,7,1,0,15,1,5,1,234,20,8,295
E00073553,0,4,0,1,18,2,7,1,227,6,7,273
E00073554,0,2,0,0,11,1,6,6,241,12,9,288
E00073555,2,1,0,0,22,1,4,2,209,20,3,264
E00073556,7,3,0,1,16,0,5,2,205,14,4,257
E00073557,6,5,0,1,15,2,2,2,313,14,7,367
E00073558,8,3,0,0,18,2,7,3,265,12,11,329
E00073559,8,4,0,0,9,3,6,1,299,16,13,359
E00073560,19,0,0,0,29,3,16,0,227,7,16,317
E00073561,27,0,0,0,15,0,2,2,375,47,13,481
E00073562,15,3,1,0,18,10,5,0,303,59,25,439
E00073563,8,3,0,1,17,1,6,1,323,36,12,408
E00073564,6,1,0,1,24,0,3,4,293,11,18,361
E00073565,56,1,1,0,67,54,7,7,285,95,37,610
E00073566,14,1,0,0,13,0,5,1,152,53,8,247
E00073567,13,1,0,0,17,3,1,1,237,36,14,323
E00073568,6,7,0,0,11,5,11,1,298,38,17,394
E00073569,6,4,0,0,35,5,14,1,353,29,13,460
E00073570,15,1,0,1,29,5,4,1,240,33,20,349
E00073571,8,0,0,0,16,12,6,0,356,17,7,422
E00073572,21,0,0,0,18,0,7,6,280,14,9,355
E00073573,36,0,0,0,30,14,11,17,369,51,24,552
E00073574,26,1,0,0,33,7,10,3,257,35,11,383
E00073575,36,3,1,2,27,11,8,2,350,55,16,511
E00073576,11,1,0,0,12,16,2,4,322,30,14,412
E00073577,14,5,1,0,12,2,3,6,276,25,23,367
E00073578,20,0,0,0,29,2,2,2,299,37,21,412
E00073579,7,1,0,0,5,0,7,2,210,2,19,253
E00073580,18,1,0,0,21,0,21,4,319,15,10,409
E00073581,4,0,0,0,12,2,6,0,272,14,11,321
E00073582,9,1,0,0,18,6,8,1,274,10,9,336
E00073583,8,3,0,0,19,8,21,0,233,6,11,309
E00073584,11,5,0,0,20,4,7,0,264,25,11,347
E00073585,11,0,0,1,32,5,21,2,255,10,13,350
E00073586,8,1,0,1,14,0,10,3,241,4,3,285
E00073587,11,0,0,0,16,18,22,5,234,10,0,316
E00073588,18,2,1,0,18,6,10,1,110,11,6,183
E00073589,9,1,0,0,16,2,13,1,86,6,0,134
E00073590,29,5,0,1,46,26,23,4,316,10,0,460
E00073591,4,0,0,0,12,2,17,3,188,10,9,245
E00073592,6,1,0,0,10,15,21,5,212,8,3,281
E00073593,5,1,1,0,15,12,24,4,188,10,14,274
E00073594,7,0,0,0,15,0,7,1,264,5,6,305
E00073595,9,0,0,0,22,1,32,1,224,8,2,299
E00073596,12,0,0,0,16,3,25,1,236,11,5,309
E00073597,34,0,0,0,30,18,36,4,359,76,17,574
E00073598,23,0,0,1,14,15,20,6,241,32,8,360
E00073599,8,5,1,0,9,0,23,0,183,10,3,242
E00073600,17,0,0,0,24,1,16,1,364,31,14,468
E00073601,21,0,0,0,1,16,7,3,200,24,7,279
E00073602,8,1,0,0,14,4,18,0,260,20,15,340
E00073603,28,0,0,0,17,13,26,9,201,35,15,344
E00073604,20,3,0,0,15,13,6,0,277,49,13,396
E00073605,8,0,0,0,13,6,10,3,188,28,7,263
E00073606,7,4,0,0,15,0,8,1,336,30,6,407
E00073607,18,0,0,0,10,13,8,2,203,39,7,300
E00073608,16,0,0,0,11,4,8,1,227,32,14,313
E00073609,21,0,0,1,13,15,12,3,223,23,9,320
E00073611,26,0,0,0,17,19,9,6,267,57,16,417
E00073612,17,1,0,2,13,5,19,0,215,61,10,343
E00073613,31,0,0,0,8,0,14,4,226,8,10,301
E00073614,18,3,1,0,33,12,28,0,408,46,21,570
E00073615,8,0,0,0,17,9,9,0,299,40,14,396
E00073616,21,0,0,0,11,4,8,2,246,37,10,339
E00073617,8,0,0,1,10,1,10,2,202,18,10,262
